
 
"
08"
"10,000 masks!? That is amazing. As we all know, masks are in high demand right now and an important part of stoppin… https://t.co/5HE9dQUqfc","http://web.archive.org/*/https://twitter.com/statedeptspox/status/1253697290990235656"
"10,000 masks!? That is amazing. As we all know, masks are in high demand right now and an important part of stoppin… https://t.co/5HE9dQUqfc","http://web.archive.org/*/http://twitter.com/statedeptspox/status/1253697290990235656"
"100 days ago, the IRGC shot down flight PS752, killing all 176 passengers and crew. Our deepest condolences are wit… https://t.co/IeekfWVFXV","http://web.archive.org/*/https://twitter.com/statedeptspox/status/1251155412121841668"
"100 days ago, the IRGC shot down flight PS752, killing all 176 passengers and crew. Our deepest condolences are wit… https://t.co/IeekfWVFXV","http://web.archive.org/*/http://twitter.com/statedeptspox/status/1251155412121841668"
"10 Memorable Moments From 2015 by .@JohnKerry, arranged in reverse chronological order.","http://web.archive.org/*/https://twitter.com/statedeptspox/status/682325885828132865"
"10 Memorable Moments From 2015 by .@JohnKerry, arranged in reverse chronological order.","http://web.archive.org/*/http://twitter.com/statedeptspox/status/682325885828132865"
"10 years ago, Sergei Magnitsky died in detention after exposing a tax fraud scheme by Russian officials. Justice ha… https://t.co/9g04jzQAeu","http://web.archive.org/*/https://twitter.com/statedeptspox/status/1195721626240897025"
"10 years ago, Sergei Magnitsky died in detention after exposing a tax fraud scheme by Russian officials. Justice ha… https://t.co/9g04jzQAeu","http://web.archive.org/*/http://twitter.com/statedeptspox/status/1195721626240897025"
"11:36p in #Helsinki #Finland https://t.co/IsOfpeQK5q","http://web.archive.org/*/https://twitter.com/statedeptspox/status/1018595437958389761"
"11:36p in #Helsinki #Finland https://t.co/IsOfpeQK5q","http://web.archive.org/*/http://twitter.com/statedeptspox/status/1018595437958389761"
"12 days after the horrific attack on innocent men, women and children, we can confirm that the #OPCW team has STILL… https://t.co/bdf0k70a9J","http://web.archive.org/*/https://twitter.com/statedeptspox/status/987151858920718336"
"12 days after the horrific attack on innocent men, women and children, we can confirm that the #OPCW team has STILL… https://t.co/bdf0k70a9J","http://web.archive.org/*/http://twitter.com/statedeptspox/status/987151858920718336"
"12 hours into the job Sec State Pompeo arrives at #NATO for his first full day of meetings. @usnato https://t.co/VVmgWe3g9C","http://web.archive.org/*/https://twitter.com/statedeptspox/status/989832104174325760"
"12 hours into the job Sec State Pompeo arrives at #NATO for his first full day of meetings. @usnato https://t.co/VVmgWe3g9C","http://web.archive.org/*/http://twitter.com/statedeptspox/status/989832104174325760"
"(1/2) Our condolences, as well as thoughts &amp; prayers, go out to the families of the victims from today's West Bank shooting attack","http://web.archive.org/*/https://twitter.com/statedeptspox/status/612006303632855040"
"(1/2) Our condolences, as well as thoughts &amp; prayers, go out to the families of the victims from today's West Bank shooting attack","http://web.archive.org/*/http://twitter.com/statedeptspox/status/612006303632855040"
"1/2 We shouldn’t be deterred by the challenge ahead.  We intend to make America &amp; world safer by advocating for the… https://t.co/ZVcUkBVAcv","http://web.archive.org/*/https://twitter.com/statedeptspox/status/998739909170155521"
"1/2 We shouldn’t be deterred by the challenge ahead.  We intend to make America &amp; world safer by advocating for the… https://t.co/ZVcUkBVAcv","http://web.archive.org/*/http://twitter.com/statedeptspox/status/998739909170155521"
"18 years ago, terrorists attacked American soil and stole American lives. @StateDept is hard at work building stron… https://t.co/HhF7QLQOrk","http://web.archive.org/*/https://twitter.com/statedeptspox/status/1171780884174954498"
"18 years ago, terrorists attacked American soil and stole American lives. @StateDept is hard at work building stron… https://t.co/HhF7QLQOrk","http://web.archive.org/*/http://twitter.com/statedeptspox/status/1171780884174954498"
"1st ever collaboration in #Sukkur. Increasing literacy important global issue. https://t.co/92ih7w1GhB","http://web.archive.org/*/https://twitter.com/statedeptspox/status/731895814193315844"
"1st ever collaboration in #Sukkur. Increasing literacy important global issue. https://t.co/92ih7w1GhB","http://web.archive.org/*/http://twitter.com/statedeptspox/status/731895814193315844"
"2016 priority: Building on momentum generated in Paris, when nearly 200 nations came together &amp; reached historic agreement on #climatechange","http://web.archive.org/*/https://twitter.com/statedeptspox/status/687311521366577153"
"2016 priority: Building on momentum generated in Paris, when nearly 200 nations came together &amp; reached historic agreement on #climatechange","http://web.archive.org/*/http://twitter.com/statedeptspox/status/687311521366577153"
"20 years ago the 11th Panchen Lama, Gedhun Choekyi Nyima was reportedly abducted by the Chinese govt at age six. Ap… https://t.co/yKBEEz6Y5Z","http://web.archive.org/*/https://twitter.com/statedeptspox/status/989635199389569024"
"20 years ago the 11th Panchen Lama, Gedhun Choekyi Nyima was reportedly abducted by the Chinese govt at age six. Ap… https://t.co/yKBEEz6Y5Z","http://web.archive.org/*/http://twitter.com/statedeptspox/status/989635199389569024"
"22 Ukrainian soldiers wounded in last 48 hours in eastern Ukraine - highest number since July. Russia-led forces ha… https://t.co/d4MxzV0AMX","http://web.archive.org/*/https://twitter.com/statedeptspox/status/989612682767687680"
"22 Ukrainian soldiers wounded in last 48 hours in eastern Ukraine - highest number since July. Russia-led forces ha… https://t.co/d4MxzV0AMX","http://web.archive.org/*/http://twitter.com/statedeptspox/status/989612682767687680"
"2/2 Virtually all of the 12 principles outlined in @SecPompeo #Iran speech have been previously endorsed by US &amp; Eu… https://t.co/QAG1OlucUF","http://web.archive.org/*/https://twitter.com/statedeptspox/status/998740654250450944"
"2/2 Virtually all of the 12 principles outlined in @SecPompeo #Iran speech have been previously endorsed by US &amp; Eu… https://t.co/QAG1OlucUF","http://web.archive.org/*/http://twitter.com/statedeptspox/status/998740654250450944"
"(2/2) We condemn any violence against civilians there and see it as completely unacceptable.","http://web.archive.org/*/https://twitter.com/statedeptspox/status/612006427083845632"
"(2/2) We condemn any violence against civilians there and see it as completely unacceptable.","http://web.archive.org/*/http://twitter.com/statedeptspox/status/612006427083845632"
"24 years ago, Iran-sponsored terrorists killed 19 Americans at the Khobar Towers and injured hundreds more. A U.S.… https://t.co/r6GeGFDgjS","http://web.archive.org/*/https://twitter.com/statedeptspox/status/1281291135449694209"
"24 years ago, Iran-sponsored terrorists killed 19 Americans at the Khobar Towers and injured hundreds more. A U.S.… https://t.co/r6GeGFDgjS","http://web.archive.org/*/http://twitter.com/statedeptspox/status/1281291135449694209"
"25 years ago, states party to the Nuclear Non-proliferation Treaty acknowledged its enduring strength to prevent th… https://t.co/pYGUIDgvW4","http://web.archive.org/*/https://twitter.com/statedeptspox/status/1259956184565637120"
"25 years ago, states party to the Nuclear Non-proliferation Treaty acknowledged its enduring strength to prevent th… https://t.co/pYGUIDgvW4","http://web.archive.org/*/http://twitter.com/statedeptspox/status/1259956184565637120"
"(2 of 2) JK: our challenge is to create the conditions under which a clear, broadly acceptable alternative can emerge.  #KerryUSIP","http://web.archive.org/*/https://twitter.com/statedeptspox/status/664891293479342080"
"(2 of 2) JK: our challenge is to create the conditions under which a clear, broadly acceptable alternative can emerge.  #KerryUSIP","http://web.archive.org/*/http://twitter.com/statedeptspox/status/664891293479342080"
"35 years ago, a #Hizballah terrorist attacked @usembassybeirut, killing 63 people. As we honor and remember the vic… https://t.co/A67O7fdgnW","http://web.archive.org/*/https://twitter.com/statedeptspox/status/986647748744302592"
"35 years ago, a #Hizballah terrorist attacked @usembassybeirut, killing 63 people. As we honor and remember the vic… https://t.co/A67O7fdgnW","http://web.archive.org/*/http://twitter.com/statedeptspox/status/986647748744302592"
"40 years ago, the Iranian regime tortured and executed Jewish community leader Albert Danielpour. They made up seve… https://t.co/KUZfxUPnE8","http://web.archive.org/*/https://twitter.com/statedeptspox/status/1269586321208741890"
"40 years ago, the Iranian regime tortured and executed Jewish community leader Albert Danielpour. They made up seve… https://t.co/KUZfxUPnE8","http://web.archive.org/*/http://twitter.com/statedeptspox/status/1269586321208741890"
